id,is_shadowed,reason,updated_at,created_at,created_by,updated_by,game_id,table_id,user_id,appversion
2508378,True,matchmaking-failed,"July 1, 2025, 4:07:17.000 PM","July 1, 2025, 4:06:49.000 PM",rummy-registration,matchmaking-failed-system,6863c119fa2d8e3ade9469dc,"573,760",684fec510a93c12c5f5140f4,444
2508405,True,matchmaking-failed,"July 1, 2025, 4:07:26.000 PM","July 1, 2025, 4:06:56.000 PM",rummy-registration,matchmaking-failed-system,6863f958fa2d8ef222948fe7,"588,556",685c4e140a93c12c5fb568b3,443
2508415,True,matchmaking-failed,"July 1, 2025, 4:07:26.000 PM","July 1, 2025, 4:06:59.000 PM",rummy-registration,matchmaking-failed-system,6863f958fa2d8ef222948fe7,"588,556",6864060a0a93c12c5f0d2a64,444
2508563,True,matchmaking-failed,"July 1, 2025, 4:08:06.000 PM","July 1, 2025, 4:07:36.000 PM",rummy-registration,matchmaking-failed-system,6863f869fa2d8e02f2948f4d,"588,402",6853e56d0a93c12c5fbac3df,444
2508567,True,matchmaking-failed,"July 1, 2025, 4:08:06.000 PM","July 1, 2025, 4:07:36.000 PM",rummy-registration,matchmaking-failed-system,6863f869fa2d8e02f2948f4d,"588,402",684fec510a93c12c5f5140f4,444
2508687,True,matchmaking-failed,"July 1, 2025, 4:08:46.000 PM","July 1, 2025, 4:08:16.000 PM",rummy-registration,matchmaking-failed-system,6863e441fa2d8ee14d9483cd,"583,684",6841cca20a93c12c5f93f4e6,440
2508690,True,matchmaking-failed,"July 1, 2025, 4:08:46.000 PM","July 1, 2025, 4:08:16.000 PM",rummy-registration,matchmaking-failed-system,6863e441fa2d8ee14d9483cd,"583,684",684fec510a93c12c5f5140f4,444
2508756,True,matchmaking-failed,"July 1, 2025, 4:09:02.000 PM","July 1, 2025, 4:08:32.000 PM",rummy-registration,matchmaking-failed-system,6863f8e1fa2d8e74f2948fba,"588,511",6863ec840a93c12c5fdd0356,444
2508757,True,matchmaking-failed,"July 1, 2025, 4:09:02.000 PM","July 1, 2025, 4:08:32.000 PM",rummy-registration,matchmaking-failed-system,6863f8e1fa2d8e74f2948fba,"588,511",685ba90a0a93c12c5fc8d7eb,442
2508930,True,matchmaking-failed,"July 1, 2025, 4:09:47.000 PM","July 1, 2025, 4:09:17.000 PM",rummy-registration,matchmaking-failed-system,6863f9d1fa2d8e9a5f94908b,"588,720",684518750a93c12c5f8b5380,440
2508933,True,matchmaking-failed,"July 1, 2025, 4:09:47.000 PM","July 1, 2025, 4:09:18.000 PM",rummy-registration,matchmaking-failed-system,6863f9d1fa2d8e9a5f94908b,"588,720",685ba90a0a93c12c5fc8d7eb,442
2509110,True,matchmaking-failed,"July 1, 2025, 4:10:35.000 PM","July 1, 2025, 4:10:05.000 PM",rummy-registration,matchmaking-failed-system,6863f959fa2d8e70a0949021,"588,614",6863ef1b0a93c12c5fe1e2b0,444
2509112,True,matchmaking-failed,"July 1, 2025, 4:10:35.000 PM","July 1, 2025, 4:10:06.000 PM",rummy-registration,matchmaking-failed-system,6863f959fa2d8e70a0949021,"588,614",686385140a93c12c5f215333,444
2509113,True,matchmaking-failed,"July 1, 2025, 4:10:36.000 PM","July 1, 2025, 4:10:06.000 PM",rummy-registration,matchmaking-failed-system,6863fa48cfc377a61263c871,"588,837",685762230a93c12c5f9348cb,444
2509123,True,matchmaking-failed,"July 1, 2025, 4:10:36.000 PM","July 1, 2025, 4:10:09.000 PM",rummy-registration,matchmaking-failed-system,6863fa48cfc377a61263c871,"588,837",685f934b0a93c12c5fc05cf1,444
2509299,True,matchmaking-failed,"July 1, 2025, 4:11:23.000 PM","July 1, 2025, 4:10:53.000 PM",rummy-registration,matchmaking-failed-system,6863fa48cfc3772e8763c856,"588,810",6864083e0a93c12c5f118da0,444
2509302,True,matchmaking-failed,"July 1, 2025, 4:11:23.000 PM","July 1, 2025, 4:10:55.000 PM",rummy-registration,matchmaking-failed-system,6863fa48cfc3772e8763c856,"588,810",6853296a0a93c12c5fec89a4,441
2509445,True,matchmaking-failed,"July 1, 2025, 4:12:06.000 PM","July 1, 2025, 4:11:36.000 PM",rummy-registration,matchmaking-failed-system,6863fa48cfc377120263c866,"588,826",6853296a0a93c12c5fec89a4,441
2509446,True,matchmaking-failed,"July 1, 2025, 4:12:06.000 PM","July 1, 2025, 4:11:36.000 PM",rummy-registration,matchmaking-failed-system,6863fa48cfc377120263c866,"588,826",685819d80a93c12c5f990f87,444
2509608,True,matchmaking-failed,"July 1, 2025, 4:12:55.000 PM","July 1, 2025, 4:12:25.000 PM",rummy-registration,matchmaking-failed-system,6863fa49cfc3777e0c63c883,"588,855",6853296a0a93c12c5fec89a4,441
2509610,True,matchmaking-failed,"July 1, 2025, 4:12:55.000 PM","July 1, 2025, 4:12:25.000 PM",rummy-registration,matchmaking-failed-system,6863fa49cfc3777e0c63c883,"588,855",6819f567adbdde23b7b5012b,444
2509792,True,matchmaking-failed,"July 1, 2025, 4:13:42.000 PM","July 1, 2025, 4:13:12.000 PM",rummy-registration,matchmaking-failed-system,6863fa49cfc377798f63c88c,"588,864",684428be0a93c12c5fb83ea9,440
2509796,True,matchmaking-failed,"July 1, 2025, 4:13:42.000 PM","July 1, 2025, 4:13:12.000 PM",rummy-registration,matchmaking-failed-system,6863fa49cfc377798f63c88c,"588,864",680a3e9dadbdde23b7022051,440
2509823,True,matchmaking-failed,"July 1, 2025, 4:13:50.000 PM","July 1, 2025, 4:13:20.000 PM",rummy-registration,matchmaking-failed-system,6863fac0fa2d8e639e9490e4,"588,954",686106a20a93c12c5fbd3ac9,444
2509826,True,matchmaking-failed,"July 1, 2025, 4:13:50.000 PM","July 1, 2025, 4:13:21.000 PM",rummy-registration,matchmaking-failed-system,6863fac0fa2d8e639e9490e4,"588,954",6853296a0a93c12c5fec89a4,441
2510109,True,matchmaking-failed,"July 1, 2025, 4:15:17.000 PM","July 1, 2025, 4:14:47.000 PM",rummy-registration,matchmaking-failed-system,6863fb388fc0b72c2a1d8b84,"589,096",6853296a0a93c12c5fec89a4,441
2510118,True,matchmaking-failed,"July 1, 2025, 4:15:17.000 PM","July 1, 2025, 4:14:50.000 PM",rummy-registration,matchmaking-failed-system,6863fb388fc0b72c2a1d8b84,"589,096",6864047e0a93c12c5f0a1af7,444
2510319,True,matchmaking-failed,"July 1, 2025, 4:16:10.000 PM","July 1, 2025, 4:15:40.000 PM",rummy-registration,matchmaking-failed-system,6863fb388fc0b764331d8b69,"589,069",6853296a0a93c12c5fec89a4,441
2510322,True,matchmaking-failed,"July 1, 2025, 4:16:10.000 PM","July 1, 2025, 4:15:40.000 PM",rummy-registration,matchmaking-failed-system,6863fb388fc0b764331d8b69,"589,069",684518750a93c12c5f8b5380,440
2510397,True,matchmaking-failed,"July 1, 2025, 4:16:29.000 PM","July 1, 2025, 4:15:59.000 PM",rummy-registration,matchmaking-failed-system,6863e621fa2d8e46d294852a,"584,144",686136750a93c12c5f0e0309,444
2510398,True,matchmaking-failed,"July 1, 2025, 4:16:29.000 PM","July 1, 2025, 4:16:00.000 PM",rummy-registration,matchmaking-failed-system,6863e621fa2d8e46d294852a,"584,144",6853b35f0a93c12c5f70a96f,444
2510496,True,matchmaking-failed,"July 1, 2025, 4:16:56.000 PM","July 1, 2025, 4:16:26.000 PM",rummy-registration,matchmaking-failed-system,6863868ffa2d8e1c149442fd,"559,114",684d6f770a93c12c5fd8c749,443
2510502,True,matchmaking-failed,"July 1, 2025, 4:16:56.000 PM","July 1, 2025, 4:16:28.000 PM",rummy-registration,matchmaking-failed-system,6863868ffa2d8e1c149442fd,"559,114",6852714f0a93c12c5f0a6a2a,444
2510611,True,matchmaking-failed,"July 1, 2025, 4:17:31.000 PM","July 1, 2025, 4:17:01.000 PM",rummy-registration,matchmaking-failed-system,6863e621fa2d8e8cc3948529,"584,143",686136750a93c12c5f0e0309,444
2510635,True,matchmaking-failed,"July 1, 2025, 4:17:31.000 PM","July 1, 2025, 4:17:07.000 PM",rummy-registration,matchmaking-failed-system,6863e621fa2d8e8cc3948529,"584,143",686114f20a93c12c5fd511bf,444
2510686,True,matchmaking-failed,"July 1, 2025, 4:17:54.000 PM","July 1, 2025, 4:17:24.000 PM",rummy-registration,matchmaking-failed-system,6863fbb08fc0b7bc741d8bfc,"589,216",6857dc760a93c12c5f3e84ae,444
2510687,True,matchmaking-failed,"July 1, 2025, 4:17:54.000 PM","July 1, 2025, 4:17:24.000 PM",rummy-registration,matchmaking-failed-system,6863fbb08fc0b7bc741d8bfc,"589,216",6821db0badbdde23b78973a9,442
2511070,True,matchmaking-failed,"July 1, 2025, 4:19:37.000 PM","July 1, 2025, 4:19:07.000 PM",rummy-registration,matchmaking-failed-system,6863e699fa2d8e6e389485a3,"584,265",685838450a93c12c5fc6e402,443
2511126,True,matchmaking-failed,"July 1, 2025, 4:19:37.000 PM","July 1, 2025, 4:19:24.000 PM",rummy-registration,matchmaking-failed-system,6863e699fa2d8e6e389485a3,"584,265",67d54ee3adbdde23b75ea864,442
